start day,start step,leave day,leave step,energy demand,power limit
0,39,0,78,1.2313003805005855,5.652548143030664
1,22,1,88,29.515311778434004,13.479597280494033
2,22,2,65,52.18336097485973,16.013468563278714
3,37,3,60,9.974349937516736,15.82713480045301
4,28,4,74,22.645650511093628,9.663009368342438
5,32,5,68,36.22846898513991,27.87137333770167
6,40,6,67,10.4472886607275,15.655845462783747
7,35,7,52,13.08333132962437,15.895650535498806
8,58,8,74,10.90506339949843,8.87278769116886
9,61,9,71,14.440885146326048,17.368738839421546
10,36,10,71,20.336608489282156,14.159872279086732
11,36,11,61,13.624051367036897,15.758619065352448
12,36,12,60,13.358322481898709,15.82713480045301
12,69,12,85,21.2832171411818,26.104495060444044
13,23,13,64,45.58630313983407,17.427920817312852
14,35,14,61,13.432835322431636,15.861392667975906
14,61,14,70,6.991686954686712,8.632982618399042
15,65,15,76,7.339299912248832,8.324661810638194
16,33,16,62,44.01124639704285,23.78907225102142
17,20,17,80,67.68511771530552,21.901926367793006
18,37,18,62,11.07409436015016,8.221888208014736
19,39,19,71,24.379536010668367,8.358919678161092
20,38,20,60,11.280300725867509,8.256146075537634
21,36,21,61,13.196907804736284,8.324661810638194
22,39,22,84,75.86915998427075,26.4935154391535
23,25,23,70,24.556748301327,16.185105466925226
24,37,24,69,10.921970827100036,8.256146075537634
25,35,25,79,61.2428924660541,35.04579848665871
26,37,26,62,12.01402316430156,15.82713480045301
27,35,27,60,15.08319413392947,15.792876932875354
27,61,27,76,8.722023560905116,8.907045558691758
28,36,28,63,14.20877619730128,15.861392667975906
29,32,29,80,62.54924224203914,19.956319903476725
30,39,30,74,43.12285515129814,16.351820994887838
31,37,31,65,7.27755026151383,15.758619065352448
32,37,32,63,14.250575516640994,15.861392667975906
33,42,33,52,19.6697850734194,27.16648895398248
33,58,33,74,8.765938113476091,17.300223104375746
34,40,34,74,23.91366281563018,9.48794630324609
34,80,34,94,13.185862388815844,15.895650535498806
35,38,35,62,7.041163920990222,18.156669792722024
36,37,36,61,28.1845247156792,29.14248762790539
37,22,37,60,58.311163533829934,21.4729545427237
37,85,38,4,13.94986226166096,17.677059647237158
38,33,38,90,19.930931462045137,7.71722817222073
39,39,39,79,1.7952908385599176,5.823837480699924
40,34,40,76,58.91747040792013,25.622963561259443
41,41,41,80,21.806026278567582,16.683581488744522
42,56,42,69,1.76647244262871,15.621587595206098
43,21,43,90,52.64865958141833,12.422986156405543
44,37,44,64,23.233074460826646,16.173844350224826
44,65,45,1,26.24901237180484,17.368738839421546
45,23,45,78,30.046119257167764,8.621484899865816
46,37,46,58,11.686934466677853,15.861392667975906
46,68,46,74,1.5634930710386132,8.838529823591198
46,73,47,33,14.736498018123628,16.03268200564516
47,41,47,66,12.865086904377588,15.9299084030217
47,71,47,78,4.029198099287972,8.87278769116886
48,36,48,67,14.089803350700278,15.758619065352448
49,36,49,61,13.764450876924396,15.861392667975906
50,53,50,71,8.005641703606655,8.8042719560683
51,30,51,62,24.996288796481668,10.225150804808122
52,36,52,41,5.294688734763176,22.027808823959578
52,44,52,70,11.066968983957423,15.964166270544602
53,37,53,67,12.840786989252765,15.895650535498806
53,70,53,91,14.060298373404349,8.8042719560683
54,36,54,62,10.64401979215875,15.690103330306652
54,64,54,77,11.85996848821396,17.334480971898643
55,36,55,66,11.121405558683891,15.861392667975906
55,66,55,76,17.437015595570337,27.13223108645958
56,40,56,80,1.8391483921169816,5.686806010553566
57,4,57,48,13.29407497888706,8.838529823591198
58,23,58,72,79.70774652469952,22.14249918027135
59,39,59,67,8.550155444335678,15.792876932875354
60,36,60,65,12.985435013622991,15.861392667975906
61,41,61,61,11.680852268702536,15.655845462783747
62,40,62,80,1.4660226893970765,5.652548143030664
63,38,63,47,19.638081841755508,27.09797321893668
63,54,63,64,6.284134210950468,26.37855800073676
64,26,64,68,28.74836304086528,12.71035768846189
65,67,65,85,14.64824297862184,8.907045558691758
66,33,66,55,11.488676468976658,15.758619065352448
66,64,66,73,20.275113575047,27.063715351359022
67,33,67,60,11.969061823961052,15.792876932875354
68,33,68,64,11.898981186244391,15.724361197829548
69,32,69,57,11.863029440097764,15.792876932875354
69,83,69,89,2.30944487857972,5.584032407930107
70,37,70,80,1.2246081578817762,5.721063878076464
71,2,71,45,14.570528009255847,8.838529823591198
72,24,72,65,39.955676528754736,24.582316410779207
73,32,73,59,7.695189096719993,15.82713480045301
73,85,74,25,11.450475933853648,8.838529823591198
74,32,74,58,10.422602516995182,15.724361197829548
74,58,74,66,13.598473648812565,26.275784398113295
74,66,74,72,2.345125903753876,5.618290275453006
75,33,75,47,2.233025760343439,8.770014088545398
76,32,76,56,9.891841402041129,15.690103330306652
77,37,77,64,9.012463857099815,17.711317514760054
78,26,78,74,28.411745843203565,9.421379275815152
79,36,79,62,54.68047274509141,29.053135165225264
80,33,80,58,9.527703635862869,15.758619065352448
81,39,81,52,4.972075957300189,17.711317514760054
82,32,82,65,2.2317082515814586,8.701498353499602
83,31,83,45,2.3131194646890942,8.770014088545398
83,46,83,72,5.041167561009903,15.690103330306652
84,32,84,66,3.5982463952427035,8.770014088545398
85,22,85,79,67.856163344443,15.61693933589067
86,26,86,82,82.58546553966144,19.779368693522244
87,31,87,65,5.823811085384347,8.735756221022504
88,36,88,81,10.530280884405435,17.951122587475105
89,38,89,82,1.6631003436235532,5.652548143030664
90,53,90,60,4.133465382337259,26.310042265636206
90,64,90,79,1.2159053807707194,8.119114605391276
91,36,91,59,12.919303292610191,15.861392667975906
92,26,92,79,25.065875295629205,9.403476358293698
93,33,93,90,52.79868486497521,20.953719670182185
94,31,94,47,2.3026515867939947,8.701498353499602
94,47,94,68,2.2340653289088803,5.686806010553566
95,32,95,66,4.604794218141371,8.701498353499602
96,32,96,66,2.294721266887944,8.701498353499602
97,36,97,58,11.169561406573449,15.792876932875354
98,35,98,48,5.601264001364468,17.368738839421546
98,49,98,66,5.712786606669677,8.701498353499602
98,68,99,30,3.171918605541434,8.8042719560683
99,20,99,84,98.60961489845351,29.92383155467424
100,29,100,70,28.895780243805916,17.174004359592494
101,31,101,53,5.68499258605716,8.770014088545398
101,72,101,80,2.182682486902059,5.549774540407208
102,31,102,68,2.198936574545725,8.735756221022504
103,31,103,65,2.1849998584971044,8.735756221022504
104,31,104,66,1.9396436295020083,8.735756221022504
105,31,105,46,2.080284983425756,8.735756221022504
105,48,105,74,4.594622328522951,8.701498353499602
105,78,105,89,1.9565727147858107,5.515516672884308
106,23,106,61,33.99321721542969,15.174401533510729
107,34,107,90,49.80798385246947,20.164754047918827
108,33,108,46,3.396754184240112,8.735756221022504
108,45,108,92,6.868884308539031,17.985380455052766
109,32,109,55,22.78654879119988,17.402996706944442
110,31,110,65,2.2108663457341056,8.770014088545398
111,32,111,46,2.2938224732317813,17.334480971898643
112,32,112,66,2.165110890496414,8.770014088545398
113,27,113,79,35.552947126552475,11.600197806362027
114,37,114,83,59.594954360183465,19.857493523521374
115,32,115,45,2.038713069734071,8.735756221022504
115,86,116,6,14.88285699913733,17.334480971898643
116,24,116,61,55.5315325452401,27.966007193856377
117,32,117,80,14.179123225951884,16.478034283552383
118,31,118,66,2.714826083664672,8.735756221022504
119,34,119,72,15.761332140830412,16.409518548506576
120,37,120,77,61.9177993695965,23.455788007424484
121,29,121,71,39.51688304690885,12.336815243418863
122,32,122,59,5.06773070356923,15.895650535498806
122,65,122,73,3.962539374778374,17.231707369275192
123,32,123,69,13.08977809857492,16.51229215107527
123,72,123,91,2.3038824648471805,5.584032407930107
124,29,124,79,14.760350341216409,16.34100281340601
125,30,125,80,15.014405737700535,16.34100281340601
126,31,126,86,13.456366792053409,16.546550018652937
127,49,127,73,14.975883947066537,16.16971347573676
128,34,128,67,29.002117683697204,25.89108617042045
129,30,129,75,4.434221952671687,16.409518548506576
129,75,129,80,6.561529365518653,17.334480971898643
130,32,130,74,34.95468991328966,16.2043800027621
131,66,131,73,9.530522743670474,17.231707369275192
132,30,132,80,20.44882981349724,16.478034283552383
133,30,133,80,7.070452321414313,16.375260680983672
134,75,134,89,1.1425363855821398,9.00981916126045
135,35,135,75,38.43427613070332,25.806381052585927
136,34,136,68,2.585204878437039,8.735756221022504
136,69,136,75,3.252030357937274,8.01634100282258
137,29,137,66,17.993166728823088,16.478034283552383
138,30,138,83,14.462261274904252,16.443776416029472
139,32,139,82,14.268316764882156,16.409518548506576
140,29,140,54,7.0889154922520525,16.306744945883114
141,57,141,65,7.94484860033035,17.402996706944442
142,20,142,71,70.88094883895018,20.80215944932379
142,73,142,80,3.260314419932528,8.87278769116886
143,34,143,73,44.67528636599164,23.723950873803638
144,33,144,67,4.006594702258624,8.770014088545398
145,34,145,64,28.53566291839197,14.45000220465061
146,30,146,76,15.172517618853028,16.409518548506576
147,35,147,74,4.724954627521049,8.770014088545398
148,22,148,79,71.05666517058073,21.949842540157086
149,32,149,85,31.29784755890512,9.505561070278658
150,25,150,65,16.082478401848565,7.9277350245943286
151,40,151,67,32.09434322483726,18.125563223715908
152,32,152,76,16.31250200797801,16.478034283552383
153,32,153,49,10.768064145165765,15.724361197829548
154,27,154,88,130.78858621528005,27.73933240332523
155,26,155,89,64.0391065249006,13.960016588165926
156,39,156,63,29.39356767335684,29.661204358833825
157,32,157,59,2.3673322433396264,5.721063878076464
157,66,157,79,26.03489734386364,26.89242601368976
158,33,158,67,2.6845703069357976,8.735756221022504
158,74,158,86,9.611894251035748,8.87278769116886
158,91,159,6,6.831051953993307,17.300223104375746
159,34,159,43,2.479869149916054,5.721063878076464
160,34,160,48,1.6858300771040586,8.770014088545398
161,34,161,71,47.82204173642773,26.995199616313233
162,45,162,82,14.91072682160257,16.306744945883114
163,37,163,63,16.461580196054328,14.804761159960503
164,33,164,68,4.064864686004007,8.735756221022504
165,32,165,72,2.365563532933562,5.618290275453006
165,89,166,7,12.170994407791596,17.334480971898643
166,26,166,52,12.319555252745348,16.889128693936676
167,27,167,64,8.294540695013367,17.026160164083038
168,36,168,70,4.018795194429461,26.926683881267415
169,25,169,70,37.73250629190065,16.56725047905076
170,33,170,69,18.068705460860848,14.918776963904026
171,21,171,66,57.14326527142946,21.019023426468802
172,23,172,90,18.718052782195517,8.435952089880825
173,30,173,88,52.561030819567485,13.01079254602656
174,34,174,70,3.965001130894733,8.735756221022504
174,70,174,79,12.370764833374524,17.608543912136604
175,29,175,62,26.68484083579708,13.961383458246438
176,21,176,67,59.65219090435443,18.95393640380295
177,74,177,85,12.531194086072132,17.574286044613697
178,38,178,63,23.29483979446801,20.116391879880762
179,31,179,80,19.293933694204892,12.11960800369973
180,71,180,81,5.853236651105681,8.701498353499602
181,37,181,72,40.15275802247041,16.004306446228053
182,36,182,90,26.79106755155178,7.557181677344117
183,22,183,82,40.38185819665907,11.141256927993995
184,20,184,88,58.72323505889797,17.116576604669756
185,68,185,80,2.4994260335197205,8.735756221022504
186,33,186,66,2.136872887473868,8.735756221022504
187,40,187,86,49.06214878501846,24.54051040751349
188,35,188,50,4.653466240731566,8.701498353499602
189,35,189,72,5.7290045981830175,8.701498353499602
190,32,190,64,9.350167080194764,7.9090504404527735
191,35,191,83,27.4348546518939,12.047176348789296
192,37,192,61,26.45132396489897,18.019638322575666
193,36,193,76,57.24641261528638,25.645212648208595
194,21,194,60,21.414444412174475,15.879713811504022
195,36,195,85,16.683489424063406,10.622674455147386
196,38,196,88,67.0256266431046,22.77702128958795
197,21,197,62,75.83290652038868,27.22753563687071
198,34,198,84,83.40977922286844,21.618451141863886
199,27,199,87,51.31426206099573,15.270112714067375
200,21,200,84,80.13833811709054,21.12083528952546
201,38,201,68,25.365811215400925,20.223954961330527
202,31,202,65,25.10751633321296,22.761176988855556
203,35,203,75,17.40198069112007,26.960941748790333
204,40,204,50,8.290418516891918,17.437254574522104
205,74,205,91,12.990636466022297,8.87278769116886
206,52,206,69,3.101339841244216,8.8042719560683
207,31,207,65,2.336769649497968,8.770014088545398
208,31,208,64,2.352832427643902,8.701498353499602
209,31,209,65,12.110713869543982,16.889128693936676
209,65,209,80,26.61026244744697,26.104495060444044
210,23,210,81,28.953145553258715,12.666316317710834
211,37,211,85,34.043213492574935,9.45359419191447
212,45,212,52,2.1837581515978286,5.584032407930107
213,26,213,90,73.43152223120195,19.72746567122322
214,32,214,71,4.149585914285726,17.300223104375746
215,57,215,67,13.031916001089272,17.745575382282954
216,32,216,68,11.415033143163624,17.334480971898643
217,26,217,85,41.01322663093968,9.357291556711294
218,43,218,54,5.327738351995446,8.735756221022504
219,43,219,52,13.039095521462526,17.300223104375746
220,27,220,63,12.842671207253916,16.889128693936676
220,63,220,72,20.282639618302333,27.13223108645958
221,31,221,66,2.371526613720142,8.770014088548024
221,67,222,27,12.430204331707053,17.437254574495878
222,33,222,68,4.075556359905144,8.701498353481245
222,90,223,7,13.699925433666278,17.437254574522104
223,27,223,64,12.216056817249092,16.991902296560134
224,27,224,50,13.547282116343425,16.957644429037234
224,83,225,8,14.04201568325819,17.26596523685285
225,20,225,90,47.73372213896798,9.99365516398726
226,26,226,86,81.90426406057674,28.74205406677038
227,32,227,61,10.956171910910758,15.861392667975906
228,28,228,88,83.60245573515569,22.58635238723061
229,32,229,69,64.7927317368756,24.933458584168953
230,55,230,71,16.731173808417648,17.711317514760054
231,32,231,46,2.0537362793245504,8.701498353499602
231,48,231,69,1.0890816256685043,8.770014088545398
232,32,232,75,30.43058512593907,11.427260390918203
233,39,233,87,82.1441795345886,27.211629329783072
234,33,234,67,4.077801539229547,8.735756221022504
235,34,235,50,19.62034059361421,17.334480971898643
235,53,235,75,1.6134320678223115,17.26596523685285
236,24,236,74,98.66074461617822,24.950614440077953
237,31,237,65,2.5815266827156305,8.735756221022504
238,32,238,51,14.79101400423497,15.758619065352448
238,52,238,64,13.471054307554944,17.231707369275192
239,40,239,85,54.428352912035415,18.34191190723326
240,30,240,90,119.7311469357604,27.10187797051136
241,22,241,67,56.87485590246721,20.479010552288692
242,33,242,39,8.188057109545941,16.78635509136798
242,39,242,48,17.079956280558466,27.16648895398248
242,48,242,54,11.867000014533753,25.967463590297687
243,34,243,55,14.242684902477317,15.724361197829548
243,55,243,63,1.069781024609143,26.549847338351256
244,30,244,65,13.959539634280905,16.923386561514338
245,30,245,46,2.6776939940433246,8.701498353499602
245,49,245,71,26.56521086680561,26.960941748790333
246,33,246,67,39.44565656198302,16.50107043337969
247,34,247,69,19.919343644460348,16.86215095793494
248,32,248,69,13.97197475133382,16.20397134331441
248,68,248,81,26.55597747654577,26.926683881267415
249,32,249,79,1.9728989946901343,5.721063878076464
250,34,250,69,9.95084774684121,8.8042719560683
251,51,251,61,6.456280267716447,26.549847338351256
252,32,252,71,7.828182296398416,17.300223104375746
253,21,253,84,69.86899839317854,26.316801090907227
254,31,254,64,26.951968176759596,14.223166229253103
255,33,255,68,1.006710255490138,15.82713480045301
256,23,256,84,41.7482839544824,20.020961932304203
257,33,257,71,1.3746092384865611,17.402996706944442
257,74,258,26,11.520134246842472,17.608543912136604
258,32,258,75,2.8389895539387155,17.334480971898643
259,33,259,81,1.965524555197132,5.721063878076464
260,26,260,65,64.46358567300429,26.158697201607715
261,30,261,74,27.208804394968777,13.373987596651865
262,33,262,39,4.494607169668296,16.752097223845077
262,40,262,60,13.127158773625633,8.526515860497296
263,36,263,41,4.986027111806933,17.300223104375746
263,41,263,50,10.133447243064138,17.711317514760054
263,52,263,78,1.74089833404637,8.290403943060536
264,67,264,75,5.610504610808429,8.701498353499602
265,5,265,10,6.552642498143919,16.13545560821386
265,33,265,38,6.260159160958652,15.792876932875354
265,38,265,43,7.104285224697679,17.677059647237158
266,32,266,70,3.947613624752762,17.334480971898643
267,25,267,62,61.88917412088258,24.77951430380585
268,59,268,68,13.044174247112576,17.334480971898643
269,33,269,69,6.315328487067879,16.20397134331441
270,20,270,65,53.95982544158315,16.407333805299103
270,72,270,77,6.629992896554657,16.991902296560134
271,24,271,49,16.389422862496755,16.443776416029472
271,51,271,63,3.104830337079928,16.272487078360218
271,71,271,79,11.445974746428664,17.574286044613697
272,32,272,72,5.313299899734262,17.402996706944442
273,35,273,79,26.62039483701542,13.77545622197088
274,22,274,85,71.25575818812382,15.511304944087177
275,37,275,87,47.06451581902567,12.901126573287648
276,32,276,72,26.60358827295824,17.334480971898643
277,32,277,73,5.469964326051597,17.300223104375746
278,32,278,56,13.131007099033486,15.655845462783747
278,61,278,72,14.704874198044324,17.26596523685285
278,72,278,83,15.144207423599784,17.608543912136604
279,28,279,63,12.237497918923806,16.854870826413784
280,32,280,80,14.253798901066345,16.478034283552383
281,26,281,87,43.88698490060359,15.175180171039006
282,61,282,83,5.9191698433767055,8.701498353499602
283,25,283,90,42.34673313248021,15.153267945937896
284,34,284,64,17.605765006403498,8.8042719560683
284,78,284,88,14.189598323091024,18.396474865437078
285,33,285,74,2.351973339740089,8.735756221022504
286,35,286,54,8.957464182796143,8.941303426214656
286,56,286,65,14.111442980937015,26.58410520592892
287,33,287,68,5.751528583717653,8.701498353499602
288,37,288,61,13.139769156009612,14.148608471249325
289,24,289,62,23.104318065406964,8.39566422168425
290,32,290,73,12.523754673512585,17.677059647237158
291,33,291,76,12.476219679112615,17.471512442045007
292,33,292,72,12.562879269575992,17.574286044613697
